Id,1. ¿De dónde nos visitas?,1.1 ¿De qué municipio del estado de Hidalgo perteneces?,2. ¿En qué rango de edad te encuentras?,"3. ¿Con qué género te identificas?
","4. ¿Con qué frecuencia realizas viajes dentro de México?
","5. ¿Cuántas veces ha visitado alguno de los destinos turísticos de Hidalgo en los últimos 24 meses?
","6. ¿Qué tanto te motiva principalmente a viajar los siguientes aspectos?
","6. ¿Qué tanto te motiva principalmente a viajar los siguientes aspectos?
 (Otro)",7. Los medios donde buscas inspiración para elegir destinos en Hidalgo.,7. Los medios donde buscas inspiración para elegir destinos en Hidalgo. (Otro),8. En cuanto a la confianza y uso de las tecnologías indica tu nivel en que estas de acuerdo con las siguientes frases:,8. En cuanto a la confianza y uso de las tecnologías indica tu nivel en que estas de acuerdo con las siguientes frases: (Otro),9. ¿Qué factor influye más en tu decisión de seguir una recomendación turística?,9. ¿Qué factor influye más en tu decisión de seguir una recomendación turística? (Otro),"10. En una escala del 1 al 5 donde 1 es Nada valioso y 5 es Muy valioso ¿Cómo sería para ti que una app turística te recomiende comercios y experiencias locales auténticas?
","11. De una escala del 1 al 5 donde 1 es Totalmente en desacuerdo y 5 es Totalmente de acuerdo. Indica que tanto estás de acuerdo con la siguiente frase:  ""Me sentiría más confiado/a usando una app turística si sé que las recomendaciones están validadas por personas locales o por una institución oficial.”
",12. ¿Qué tipo de información consideras más importante?,12. ¿Qué tipo de información consideras más importante? (Otro),13. ¿Con qué frecuencia has enfrentado los siguientes problemas al viajar?,13. ¿Con qué frecuencia has enfrentado los siguientes problemas al viajar? (Otro),"14. En una escala del 1 al 5,  donde 1 es nada probable y 5 muy probable. ¿Qué tan probable es que uses una app oficial del estado de Hidalgo para planear y vivir tus viajes?
",15. ¿Qué funciones consideras indispensables en una app de viajes?,15. ¿Qué funciones consideras indispensables en una app de viajes? (Otro),16. ¿Qué haría que dejaras de usar una app turística? (Selecciona 3 opciones),"17. En una frase, ¿qué esperas de una app turística ideal para viajar en Hidalgo?
","17. En una frase, ¿qué esperas de una app turística ideal para viajar en Hidalgo?
 (Otro)"
78,Ciudad de México,,60 años o más,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,5,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, No confiar en las recomendaciones",Me ahorre tiempo ,
79,Ciudad de México,,30–39 años,Hombre,Esporádicamente,1 vez,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Eventos o actividades del día,,Falta de información en el momento exacto,,5,Eventos y experiencias locales,,"Mala experiencia de uso, Falta de valor real, Exceso de publicidad",Que me proporciones información veridica. ,
80,Guerrero,,18–29 años,Hombre,Varias veces al año,2 veces,Aventura,,Blogs o influencers,,Me generan seguridad para tomar decisiones,,Fotos reales,,5,5,Seguridad,,Recomendaciones poco confiables,,3,Eventos y experiencias locales,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Excelente i formación para conocer destinos turísticos ,
81,Ciudad de México,,50–59 años,Hombre,Varias veces al año,3 veces,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Fotos reales,,5,5,Mapas y rutas,,Información desactualizada,,5,Rutas sugeridas,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Que me proporcione toda la información requerida,
82,Guerrero,,18–29 años,Hombre,Varias veces al año,2 veces,Descanso / relajación,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,3,4,Mapas y rutas,,Información desactualizada,,5,Recomendaciones locales confiables,,Información falsa o incompleta,,
83,Estado de México,,40–49 años,Mujer,Varias veces al año,2 veces,Descanso / relajación,,Páginas oficiales de turismo,,Me ayudan a ahorrar tiempo,,Cercanía / ubicación,,5,5,Mapas y rutas,,Información desactualizada,,5,Recomendaciones locales confiables,,Información falsa o incompleta,Increíble ,
84,Quintana Roo,,30–39 años,Mujer,Varias veces al año,1 vez,Naturaleza,,Redes sociales,,Me ayudan a ahorrar tiempo,,Fotos reales,,5,5,Recomendaciones cercanas,,Información desactualizada,,3,Recomendaciones locales confiables,,"Información falsa o incompleta, Mala experiencia de uso",Información cLARA,
85,Ciudad de México,,40–49 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Falta de información en el momento exacto,,5,Eventos y experiencias locales,,"Información falsa o incompleta, No confiar en las recomendaciones, Falta de valor real",Que haya una ruta para puebleando,
86,Estado de México,,30–39 años,Hombre,Varias veces al año,3 veces,Viaje Familiar,,Redes sociales,,Confío en sus recomendaciones,,Opiniones de otros usuarios,,5,5,Eventos o actividades del día,,Falta de información en el momento exacto,,5,Eventos y experiencias locales,,Exceso de publicidad,Diversion,
87,Puebla,,40–49 años,Mujer,Una vez al año,4 veces o más,Viaje Familiar,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,5,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad","
Informacion Precisa, recomendaciones de excelentes lugares para comer,  etc",
88,Puebla,,18–29 años,Mujer,Muy rara vez,2 veces,Naturaleza,,Redes sociales,,La información suele ser clara y actualizada,,Fotos reales,,5,5,Mapas y rutas,,Información desactualizada,,5,Rutas sugeridas,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Que sea confiable y segura ,
89,Estado de México,,50–59 años,Hombre,Esporádicamente,4 veces o más,Viaje Familiar,,Redes sociales,,Me ayudan a ahorrar tiempo,,Precio,,4,5,Seguridad,,Información desactualizada,,5,Rutas sugeridas,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Que sea segura y confiable ,
90,Estado de México,,30–39 años,Mujer,Varias veces al año,3 veces,Naturaleza,,Redes sociales,,Confío en sus recomendaciones,,Opiniones de otros usuarios,,5,4,Recomendaciones cercanas,,Demasiadas opciones sin guía,,5,Rutas sugeridas,,Exceso de publicidad,"Que cuente con información actualizada, de fácil manejo, ",
91,Estado de México,,30–39 años,Mujer,Una vez al año,1 vez,Viaje Familiar,,Redes sociales,,La información suele ser clara y actualizada,,Fotos reales,,5,5,Mapas y rutas,,Recomendaciones poco confiables,,5,Rutas sugeridas,,Información falsa o incompleta,Honestidad ,
92,Estado de México,,18–29 años,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Fotos reales,,5,5,Mapas y rutas,,Recomendaciones poco confiables,,3,Recomendaciones locales confiables,,"Información falsa o incompleta, Mala experiencia de uso, No confiar en las recomendaciones",Fácil de usar y manipular para una excelente navegación ,
93,Hidalgo,Pachuca de Soto,30–39 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Falta de información en el momento exacto,,5,Información verificada,,"Información falsa o incompleta, Exceso de publicidad",Disfrutar del viaje,
94,Estado de México,,30–39 años,Mujer,Varias veces al año,3 veces,Viaje Familiar,,Redes sociales,,Confío en sus recomendaciones,,Que se trate de una plataforma oficial,,5,5,Mapas y rutas,,Información desactualizada,,5,Eventos y experiencias locales,,Información falsa o incompleta,Rutas y lugares por conocer,
95,Ciudad de México,,60 años o más,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,,Páginas oficiales de turismo,,Me ayudan a ahorrar tiempo,,Precio,,5,5,Seguridad,,Falta de información en el momento exacto,,4,Comercios y servicios cercanos,,"Información falsa o incompleta, Mala experiencia de uso, No confiar en las recomendaciones",Que sea lugares seguros y familiares,
96,Ciudad de México,,18–29 años,Hombre,Varias veces al año,1 vez,Naturaleza,,Redes sociales,,Me ayudan a ahorrar tiempo,,Fotos reales,,5,5,Mapas y rutas,,Información desactualizada,,5,Rutas sugeridas,,Información falsa o incompleta,Me ayude a conocer mejor mis rutas y los lugares turísticos ,
97,Ciudad de México,,40–49 años,Hombre,Varias veces al año,1 vez,Naturaleza,,Recomendaciones de amigos / familia,,La información suele ser clara y actualizada,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Recomendaciones poco confiables,,5,Rutas sugeridas,,"Información falsa o incompleta, Mala experiencia de uso, No confiar en las recomendaciones",,
98,Ciudad de México,,30–39 años,Mujer,Varias veces al año,4 veces o más,Viaje Familiar,,Redes sociales,,Me generan seguridad para tomar decisiones,,Que se trate de una plataforma oficial,,5,5,Eventos o actividades del día,,Información desactualizada,,5,Eventos y experiencias locales,,"Información falsa o incompleta, Mala experiencia de uso",Más eventos,
99,Estado de México,,18–29 años,Hombre,Varias veces al año,1 vez,Cultura / Historia,,Redes sociales,,La información suele ser clara y actualizada,,Opiniones de otros usuarios,,5,5,Recomendaciones cercanas,,Información desactualizada,,5,Recomendaciones locales confiables,,Información falsa o incompleta,Información confiable y actualizada ,
100,Ciudad de México,,18–29 años,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales,,La información suele ser clara y actualizada,,Precio,,5,5,Horarios actualizados,,Información desactualizada,,5,Recomendaciones locales confiables,,"Información falsa o incompleta, No confiar en las recomendaciones, Falta de valor real",Que sea confiable y actualizada ,
101,Estado de México,,40–49 años,Hombre,Una vez al año,1 vez,Naturaleza,,Google,,Confío en sus recomendaciones,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Falta de información en el momento exacto,,4,Eventos y experiencias locales,,"Información falsa o incompleta, Falta de valor real, Mala experiencia de uso",Que sea información real  y certera,
102,Estado de México,,30–39 años,Mujer,Varias veces al año,3 veces,Viaje Familiar,,Redes sociales,,Me generan seguridad para tomar decisiones,,Cercanía / ubicación,,4,5,Mapas y rutas,,Información desactualizada,,4,Comercios y servicios cercanos,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Que sea confiable y verificada,
103,Ciudad de México,,60 años o más,Mujer,Esporádicamente,2 veces,Descanso / relajación,,Redes sociales,,Evito apps que parecen publicidad disfrazada,,Fotos reales,,5,5,Seguridad,,Falta de información en el momento exacto,,5,Rutas sugeridas,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Que sea real la información ,
104,Michoacán,,30–39 años,Hombre,Esporádicamente,3 veces,Viaje Familiar,,Páginas oficiales de turismo,,Me generan seguridad para tomar decisiones,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Recomendaciones poco confiables,,5,Eventos y experiencias locales,,Falta de valor real,Conocer más la cultura de mexico,
105,Tabasco,,30–39 años,Hombre,Varias veces al año,1 vez,Viaje Familiar,,Redes sociales,,Confío en sus recomendaciones,,Opiniones de otros usuarios,,4,4,Horarios actualizados,,Información desactualizada,,4,Recomendaciones locales confiables,,Mala experiencia de uso,,
106,Estado de México,,30–39 años,Hombre,Una vez al año,2 veces,Naturaleza,,Redes sociales,,Confío en sus recomendaciones,,Opiniones de otros usuarios,,4,5,Horarios actualizados,,Recomendaciones poco confiables,,4,Información verificada,,Exceso de publicidad,Recomendaciones reales,
107,Ciudad de México,,18–29 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,,No busco inspiración; ya conozco los destinos,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Falta de información en el momento exacto,,5,Eventos y experiencias locales,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Mucha seguridad,
108,Ciudad de México,,18–29 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Horarios actualizados,,Información desactualizada,,5,Información verificada,,"Información falsa o incompleta, Mala experiencia de uso, Exceso de publicidad",Confiable y segura ,
109,Ciudad de México,,40–49 años,Hombre,Varias veces al año,3 veces,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Precio,,5,5,Seguridad,,Poca visibilidad de comercios locales,,5,Comercios y servicios cercanos,,Información falsa o incompleta,Facilidad de uso,
110,Hidalgo,Epazoyucan,30–39 años,Mujer,Varias veces al año,4 veces o más,Viaje Familiar,,Redes sociales,,Me ayudan a ahorrar tiempo,,Fotos reales,,4,5,Recomendaciones cercanas,,Demasiadas opciones sin guía,,4,Eventos y experiencias locales,,"Información falsa o incompleta, No confiar en las recomendaciones, Mala experiencia de uso",Que sea confiable y actualizada ,
111,Estado de México,,30–39 años,Hombre,Varias veces al año,3 veces,Naturaleza,,Redes sociales,,La información suele ser clara y actualizada,,Fotos reales,,5,5,Mapas y rutas,,Información desactualizada,,5,Rutas sugeridas,,Información falsa o incompleta,Información actualizada clara consiste confiable para poder obtener lo más veras posiblee,
112,Hidalgo,Tianguistengo,40–49 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Seguridad,,Falta de información en el momento exacto,,5,Información verificada,,"No confiar en las recomendaciones, Información falsa o incompleta, Falta de valor real",Que tenga todos los elementos importantes ,
113,Estado de México,,18–29 años,Hombre,Varias veces al año,2 veces,Naturaleza,,Redes sociales,,Me ayudan a ahorrar tiempo,,Fotos reales,,4,3,Recomendaciones cercanas,,Información desactualizada,,4,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Rapido,
114,Hidalgo,Huasca de Ocampo,18–29 años,Mujer,Varias veces al año,3 veces,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Horarios actualizados,,Falta de información en el momento exacto,,Probable,Recomendaciones locales confiables,,Información falsa o incompleta,Que sea buena,
115,Michoacán,,50–59 años,Mujer,Esporádicamente,2 veces,Naturaleza,,Redes sociales,,Me ayudan a ahorrar tiempo,,Fotos reales,,4,3,Mapas y rutas,,Demasiadas opciones sin guía,,4,Comercios y servicios cercanos,,Mala experiencia de uso,Que muestre los lugares con fotos reales,
116,Ciudad de México,,18–29 años,Hombre,Varias veces al año,4 veces o más,Naturaleza,,Google,,Confío en sus recomendaciones,,Opiniones de otros usuarios,,5,5,Recomendaciones cercanas,,Demasiadas opciones sin guía,,3,,,"Información falsa o incompleta, Falta de valor real, Mala experiencia de uso",Mucho ,
117,Ciudad de México,,18–29 años,Mujer,Una vez al año,2 veces,Cultura / Historia,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,,5,Horarios actualizados,,Información desactualizada,,5,Información verificada,,Mala experiencia de uso,Facilidad en el  uso ,
118,Veracruz,,40–49 años,Mujer,Varias veces al año,1 vez,Viaje Familiar,,Google,,La información suele ser clara y actualizada,,Fotos reales,,5,5,Información offline,,Información desactualizada,,5,Información verificada,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",,
119,Ciudad de México,,18–29 años,Hombre,Varias veces al año,3 veces,4 veces o más,,Redes sociales,,Me ayudan a ahorrar tiempo,,Fotos reales,,3,4,Mapas y rutas,,Información desactualizada,,Neutral,Información verificada,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",,
120,Puebla,,60 años o más,Hombre,Una vez al año,2 veces,4 veces o más,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,1,1,Mapas y rutas,,Información desactualizada,,Poco probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",No uso nada digital ,
121,Hidalgo,Mixquiahuala de Juárez,30–39 años,Mujer,Muy rara vez,1 vez,Naturaleza,,Redes sociales,,Me ayudan a ahorrar tiempo,,Fotos reales,,5,5,Horarios actualizados,,Recomendaciones poco confiables,,5,Rutas sugeridas,,"Información falsa o incompleta, Falta de valor real, Mala experiencia de uso",Conocer lugares que están. Bonitos y no son expuesto ,
122,Hidalgo,Tulancingo de Bravo,30–39 años,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Recomendación local,,5,5,Recomendaciones cercanas,,Recomendaciones poco confiables,,Muy probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Mala experiencia de uso, No confiar en las recomendaciones",Seguridad ,
123,Hidalgo,Tula de Allende,40–49 años,Hombre,Varias veces al año,3 veces,Viaje Familiar,,Recomendaciones de amigos / familia,,Evito apps que parecen publicidad disfrazada,,Recomendación local,,5,5,Mapas y rutas,,Demasiadas opciones sin guía,,5,Información verificada,,Información falsa o incompleta,Explicacion completa de algunos itinerarios ,
124,Estado de México,,30–39 años,Mujer,Una vez al año,1 vez,Cultura / Historia,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,5,Rutas sugeridas,,Exceso de publicidad,Mayor  seguridad ,
125,Ciudad de México,,18–29 años,Mujer,Varias veces al año,3 veces,Naturaleza,,Redes sociales,,Me ayudan a ahorrar tiempo,,Recomendación local,,4,4,Horarios actualizados,,Demasiadas opciones sin guía,,4,Rutas sugeridas,,Mala experiencia de uso,Confianza ,
126,Estado de México,,50–59 años,Hombre,Varias veces al año,3 veces,Naturaleza,,Recomendaciones de amigos / familia,,Confío en sus recomendaciones,,Precio,,5,5,Seguridad,,Información desactualizada,,5,Recomendaciones locales confiables,,"Exceso de publicidad, Falta de valor real",Que muestreb precios,
127,Estado de México,,60 años o más,Hombre,Muy rara vez,1 vez,Descanso / relajación,,Google,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,1,5,Mapas y rutas,,Información desactualizada,,Probable,Rutas sugeridas,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Seguridad ,
